ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,-0.015205061544991648,112.124,0.171819,-0.194266,5.07002,4.97012,5.03276,5.26914,5.72526,6.50866,7.87258,10.5656,20.0494,43.6261,33.2764,24.1638,17.286,13.1165,10.6325,9.08806,8.10793,7.4977,7.15578
1.0,0.0,-0.0153539020741826,115.798,0.602198,-0.0412579,2.38889,2.4086,2.50704,2.70157,3.03202,3.58545,4.57566,6.70201,17.1375,46.393,33.6657,24.2398,18.396,14.8465,12.6293,11.2171,10.3316,9.82431,9.62079
1.0,0.0,0.3641343216809844,62.2386,-0.0980267,-0.382226,5.79249,5.57729,5.49233,5.5303,5.69446,6.08852,6.98346,9.5036,26.977,23.4389,19.7648,16.2264,13.087,10.5246,8.57539,7.15966,6.15566,5.45326,4.97112
1.0,0.0,0.01426671003163694,174.308,-0.065623,0.010135,6.39404,6.50543,6.83429,7.43916,8.44826,10.1414,13.2171,20.0161,63.1554,93.9154,27.6693,15.5124,10.893,8.57017,7.23692,6.42773,5.94135,5.68219,5.60657
0.0,1.0,-0.3726617011962416,108.797,-0.750712,-7.24077E-4,10.5043,10.647,11.0959,11.9113,13.2137,15.2239,18.3414,23.2833,31.2307,43.6014,67.8858,4.72632,3.08011,2.35926,1.96616,1.73302,1.59403,1.51942,1.49573
1.0,0.0,-0.003066087273017768,154.732,-0.00667928,-0.0190388,15.1029,15.2846,15.9616,17.2497,19.4054,22.9746,29.2415,41.9627,78.4975,200.0,96.2095,45.9773,30.8215,23.7225,19.7697,17.3992,15.9696,15.1834,14.9025
1.0,0.0,0.007438929682548192,79.702,-0.0716582,0.0290507,16.0817,16.4138,17.2967,18.8864,21.5178,25.9161,33.8679,51.0993,110.884,200.0,68.8748,37.72,26.5269,20.9474,17.7528,15.8207,14.6699,14.0738,13.931
1.0,0.0,-0.3642661937102882,88.1474,-0.754268,0.0529478,10.5376,10.75,11.2492,12.0909,13.3753,15.2673,18.0223,22.0029,27.6282,35.1098,43.0761,4.20369,2.82136,2.20373,1.86318,1.66149,1.54389,1.48573,1.47653
1.0,0.0,0.37433252801266276,145.317,0.375694,-0.0438091,3.74953,3.77892,3.93248,4.23757,4.75758,5.63208,7.20853,10.6657,91.4289,56.9585,34.3887,22.5207,16.4077,13.001,10.9587,9.68496,8.89465,8.44391,8.26167
1.0,0.0,-0.0018861338049786093,192.746,0.341385,0.0198253,3.95247,4.02752,4.23671,4.61677,5.24688,6.29777,8.18607,12.2221,25.6452,199.348,41.6715,22.3204,15.5652,12.2343,10.3364,9.19001,8.50513,8.14559,8.04989
